event_edition_id,event_name,event_category,registration_type,start_date,end_date,venue,city,event_tags,season,event_category_num,registration_type_num,cluster
12672,Independence day Marathon-Offline,Sports,Free,2016-08-07 06:30:00,2016-08-07 00:00:00,Kumararani Meena Muthiah College Ground,Chennai,Sports,2,4,0,5
12717,Ciné Club - ATTILA MARCEL 2nd June ,Entertainment,Free,2016-06-02 16:30:00,2016-06-02 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre,2,1,0,4
12719,WCCG Mass 100km Ride,Sports,Paid,2016-06-18 05:00:00,2016-06-18 10:00:00,Anna Nagar/Velachery/Tambaram,Chennai,Sports,2,4,1,5
12723,Nitros Day (Relay Male),Sports,Free,2016-07-09 16:00:00,2016-07-09 00:00:00,Nehru Stadium,Chennai,Sports,2,4,0,5
12726,Madrasi Da,Entertainment,Paid,2016-06-18 19:30:00,2016-06-18 00:00:00,Sri Mutha Venkatasubba Rao Concert Hall,Chennai,Comedy,2,1,1,4
12730,Bangalore Ultra,Sports,Paid,2016-11-12 07:00:00,2016-11-12 00:00:00,Bamboo Forest,Bengaluru,Sports,0,4,1,0
12735,EUFF - The Irish Rebellion,Entertainment,Free,2016-06-07 17:00:00,2016-06-07 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre,2,1,0,4
12752,Vocal Concert by Sriranjani Santhanagopalan,Entertainment,Paid,2016-06-11 18:00:00,2016-06-11 21:00:00,Club Opal A/C Banquet Hall,Chennai,Music and Dance,2,1,1,4
12762,Largest Pink Ribbon Formation,Entertainment,Paid,2016-09-11 06:15:00,2016-09-11 00:00:00,Island Ground,Chennai,Variety,0,1,1,3
12783,Kaveri Trail Marathon 10K,Sports,Paid,2016-11-26 00:00:00,2016-11-27 00:00:00,Next to Ranganthittu Bird Sanctuary,Mysore,Sports Other,0,4,1,0
12796,Bhaje Pandurangam,Entertainment,Free,2016-08-08 04:30:00,2016-08-11 20:00:00,Narada Gana Sabha,Chennai,Variety,2,1,0,4
12798,Srinivasam Prapadye,Entertainment,Paid,2016-07-23 18:30:00,2016-07-23 21:00:00,Music Academy,Chennai,Music and Dance,2,1,1,4
12814,GO:MADras 8 Electronic Music Festival,Entertainment,Paid,2016-09-10 12:00:00,2016-09-11 00:00:00,Radisson Blu Temple Bay Mamallapuram,Chennai,Variety,0,1,1,3
12821,Short + Sweet 2016 Week One,Entertainment,Paid,2016-07-06 19:00:00,2016-07-10 21:00:00,Alliance Fran�aise of Madras,Chennai,Theatre,2,1,1,4
12823,Short + Sweet 2016 Week Two,Entertainment,Paid,2016-07-13 19:00:00,2016-07-17 21:00:00,Alliance Française of Madras,Chennai,Theatre,2,1,1,4
12825,Short + Sweet 2016 Wildcard 1,Entertainment,Paid,2016-07-09 14:00:00,2016-07-10 16:00:00,Alliance Fran�aise of Madras,Chennai,Theatre,2,1,1,4
12826,Short + Sweet 2016 Wildcard 2,Entertainment,Paid,2016-07-16 14:00:00,2016-07-17 16:00:00,Alliance Française of Madras,Chennai,Theatre,2,1,1,4
12834,Kauvery Hospital Trichy Marathon,Sports,Paid,2016-09-25 05:15:00,2016-09-25 09:30:00,Trichy,Trichy,Sports,0,4,1,0
12837,ANU VAIDYANATHAN Book Tour,Sports,Free,2016-07-03 16:30:00,2016-07-03 18:30:00,Alumni Club Anna University,Chennai,Sports,2,4,0,5
12847,Kashmir to Kanyakumari Tour de Rotary Cycle Rally,Sports,Paid,2016-11-07 07:00:00,2016-12-09 18:00:00,Multiple Locations,Chennai,Sports Other,0,4,1,0
12848,Short + Sweet 2016 Gala Finals,Entertainment,Paid,2016-07-27 19:00:00,2016-07-31 21:00:00,Alliance Française of Madras,Chennai,Theatre,2,1,1,4
12850,Mirchi Neon Run Chennai,Sports,Paid,2016-09-24 18:30:00,2016-09-24 00:00:00,YMCA,Chennai,Sports,0,4,1,0
12858,21K & 10K Porur Racers Anniversary Run,Sports,Free,2016-07-31 05:30:00,2016-07-31 00:00:00,TBD,Chennai,Sports,2,4,0,5
12860,5K Porur Racers Anniversary Run,Sports,Free,2016-07-31 05:30:00,2016-07-31 00:00:00,Madha Engineering College,Chennai,Sports,2,4,0,5
12866,Paid-5th Rohtak Marathon- 11K,Sports,Paid,2016-11-20 06:00:00,2016-11-20 00:00:00,Jat Collage Ground ,Rohtak,Sports,0,4,1,0
12870,"Thaikkudam Bridge, Suraj Mani & Tattva Triper",Entertainment,Paid,2016-08-07 17:30:00,2016-08-07 00:00:00,Sir Mutha Concert Hall,Chennai,Music and Dance,2,1,1,4
12873,Wolf’s Lair Skrat & Lagori,Entertainment,Paid,2016-08-20 17:30:00,2016-08-20 00:00:00,Museum Theater,Chennai,Music and Dance,2,1,1,4
12879,Chennai Mini Marathon,Sports,Paid,2016-09-11 05:00:00,2016-09-11 00:00:00,Napier Bridge,Chennai,Sports,0,4,1,0
12883,G3 Half Duathlon Individual ,Sports,Paid,2016-08-07 05:30:00,2016-08-07 00:00:00,Decathlon OMR,Chennai,Sports,2,4,1,5
12884,G3 Half Duathlon Mixed (Team) ,Sports,Paid,2016-08-07 05:30:00,2016-08-07 00:00:00,Decathlon OMR,Chennai,Sports,2,4,1,5
12885,G3 Half Duathlon Women (Team),Sports,Paid,2016-08-07 05:15:00,2016-08-07 00:00:00,Decathlon OMR,Chennai,Sports,2,4,1,5
12899,Penn Kalvi Run 2016,Sports,Paid,2016-08-07 05:30:00,2016-08-07 08:30:00,"Island Grounds, Marina Beach ",Chennai,Sports,2,4,1,5
12900,Radiant Wellness Conclave 2016,Conferences,Paid,2016-08-13 00:00:00,2016-08-13 00:00:00,Sir Mutha Venkatasubba Rao Concert Hall,Chennai,Learning & Workshops,2,0,1,4
12908,Aladdin- A Musical Journey,Entertainment,Paid,2016-09-04 19:00:00,2016-09-04 00:00:00,Sir Mutha Venkatasubba Rao Concert Hall,Chennai,Music and Dance,0,1,1,3
12911,DSFN,Entertainment,Paid,2016-07-30 19:00:00,2016-07-30 00:00:00,ECR-OMR Junction ECR,Chennai,Music and Dance,2,1,1,4
12913,The Mustangs @ Fifty,Entertainment,Paid,2017-01-11 18:30:00,2017-01-11 22:30:00,Green Meadows Resort,Chennai,Music and Dance,3,1,1,1
12917,Beatles Forever 7th August,Entertainment,Paid,2016-08-07 19:00:00,2016-08-07 00:00:00,Museum Theatre,Chennai,Music and Dance,2,1,1,4
12926,Cyclofun Individual 5Km (8 -12 years),Sports,Paid,2016-08-28 07:00:00,2016-08-28 00:00:00,Madras Motor Sports Club,Chennai,Sports Other,2,4,1,5
12931,Cyclofun Obstacle Mania(Corporate Team-Team of 6),Sports,Paid,2016-08-28 07:00:00,2016-08-28 00:00:00,MADRAS MOTOR SPORTS CLUB Irungattakottai,Chennai,Sports,2,4,1,5
12942,Cyclofun Individual 22Km (17 years & above),Sports,Paid,2016-08-28 09:00:00,2016-08-28 00:00:00,Madras Motor Sports Club,Chennai,Sports Other,2,4,1,5
12951,ALERT-A-THON,Sports,Paid,2016-10-09 05:30:00,2016-10-09 08:00:00,DB Jain College,Chennai,Sports,0,4,1,0
12957,TCC CritRace 2016,Sports,Paid,2016-08-28 12:00:00,2016-08-28 00:00:00,Irungattukottai ,Chennai,Sports,2,4,1,5
12961,Penn Kalvi Run 2016 MAD,Sports,Paid,2016-08-07 05:30:00,2016-08-07 08:30:00,"Island Grounds, Marina Beach ",Chennai,Sports,2,4,1,5
12969,PCM 5k Dream Run(Students Only),Sports,Paid,2016-12-18 06:00:00,2016-12-18 10:00:00,"Albert Hall, Ramniwas Bagh",Jaipur,Sports,3,4,1,2
12970,PCM Half Marathon (For Indians),Sports,Paid,2016-12-18 06:00:00,2016-12-18 10:00:00,"Albert Hall, Ramniwas Bagh",Jaipur,Sports,3,4,1,2
12973,Calm Like a Bomb,Merchandise,Paid,2016-08-22 00:00:00,2016-09-10 00:00:00,Online,Chennai,Merchandise,2,3,1,5
12974,"Day 1 Haricharan, Bennett & Band",Entertainment,Paid,2016-08-20 19:00:00,2016-08-20 21:00:00,Music Academy,Chennai,Music and Dance,2,1,1,4
12976,RTR 1st Anniversary Run,Sports,Free,2016-09-04 05:00:00,2016-09-04 08:00:00,Panagal Park,Chennai,Sports,0,4,0,0
12993,Day 5 Stephen Devassy,Entertainment,Paid,2016-08-24 19:00:00,2016-08-24 22:00:00,Music Academy,Chennai,Music and Dance,2,1,1,4
12997,Day 9 Maniyosai Musical Opera 100th Show,Entertainment,Paid,2016-08-28 18:00:00,2016-08-28 22:00:00,Music Academy,Chennai,Music and Dance,2,1,1,4
13001,Coached by Ben Pulham,Sports,Free,2016-09-03 16:00:00,2016-09-03 18:00:00,The WESTIN ,Chennai,Sports,0,4,0,0
13009,Piano Recital by Maxime Zecchini,Entertainment,Free,2016-09-08 19:00:00,2016-09-08 00:00:00,Edouard Michelin Auditorium,Chennai,Music and Dance,0,1,0,3
13019,CELEBRATION RUN ,Sports,Paid,2016-10-23 06:00:00,2016-10-23 10:30:00,GANDHI MAIDAN ,Mumbai,Sports Other,0,4,1,0
13029,PETATHON,Sports,Paid,2016-10-23 06:00:00,2016-10-23 10:30:00,GANDHI MAIDAN ,Mumbai,Sports Other,0,4,1,0
13035,Ciné Club - Un château en Italie,Entertainment,Free,2016-09-01 19:00:00,2016-09-01 00:00:00,Edouard Michelin Auditorium,Chennai,Movies,0,1,0,3
13041,Mirchi Neon Run Bangalore,Sports,Paid,2016-11-26 18:00:00,2016-11-26 18:00:00,Manyata Embassy,Bengaluru,Sports,0,4,1,0
13042,Two 2 Tango,Entertainment,Paid,2016-10-02 19:00:00,2016-10-02 00:00:00,Madras Music Academy,Chennai,Music and Dance,0,1,1,3
13047,Chennai Jogathon 2016 ,Sports,Paid,2016-10-02 06:30:00,2016-10-02 08:30:00,Besant Nagar beach,Chennai,Sports,0,4,1,0
13048,AURANGZEB,Entertainment,Paid,2016-09-23 19:00:00,2016-09-25 21:00:00,"Edouard Michelin,Alliance Francaise of Madras ",Chennai,Theatre,0,1,1,3
13075,Andrum Indrum Endrendrum M.S.Subbulakshmi Centenary Celebrations,Entertainment,Paid,2016-09-15 18:00:00,2016-09-16 21:00:00,Vani Mahal ,Chennai,Music and Dance,0,1,1,3
13080,Beatboxing Concert by Faya Braz,Entertainment,Free,2016-09-18 19:00:00,2016-09-18 00:00:00,Courtyard of Phoenix Market City,Chennai,Music and Dance,0,1,0,3
13096,Funny Money by Ensomneacks,Entertainment,Paid,2016-11-12 00:00:00,2016-11-12 00:00:00,Alliance Francaise of Madras,Chennai,Theatre,0,1,1,3
13109,TEDxChennai,Sports,Paid,2016-10-23 09:00:00,2016-10-23 17:00:00,Sir Mutha Venkatasubba Rao Hall,Chennai,Sports,0,4,1,0
13114,NYNA VALÈS live in concert with AKKARAI SUBHALAKSHMI,Entertainment,Free,2016-10-01 19:00:00,2016-10-01 00:00:00,Edouard Michelin Auditorium,Chennai,Music and Dance,0,1,0,3
13122, FITSPIR Family Fun Run,Sports,Paid,2016-10-16 06:00:00,2016-10-16 10:00:00,DLF Garden City ,Chennai,Sports Other,0,4,1,0
13123,Karaikudi Marathon,Sports,Free,2016-09-29 06:30:00,2016-09-29 09:00:00,Karaikudi,Karaikudi,Sports Other,0,4,0,0
13126,Kashmir to Kanyakumari Tour de Rotary Cycle Rally ,Sports,Paid,2016-11-07 07:00:00,2016-12-09 18:00:00,Jammu - Pathankot - Jalandhar - Ludhiana - Ambala - Sonepat - New Delhi - Gurgoan - Neemrana - Jaipur - Ajmer - Udaipur - Gandhinagar - Vadodara - Surat - Vapi - Mumbai - Pune - Kholapur - Dharwad - Chitradurga - Bengaluru - Vellore - Chennai - Pondy - Sal,Chennai,Sports Other,0,4,1,0
13127,Wheel It With Mustangs,Sports,Free,2016-10-16 04:45:00,2016-10-16 12:30:00,"Pro-Bikers, OMR",Chennai,Sports,0,4,0,0
13142,MY COUNTRY RUN,Sports,Paid,2017-01-08 15:00:00,2017-01-08 00:00:00,Kanteerava Stadium,Bengaluru,Sports,3,4,1,2
