event_edition_id,event_name,event_category,registration_type,start_date,end_date,venue,city,event_tags
11565,Thaaliyaa Tallyaa?,Entertainment,Paid,2015-11-23 18:30:00,2015-11-23 00:00:00,Naradha Gana Sabha,Chennai,Comedy
11570,Nicolai Friedrich Live in Chennai,Entertainment,Paid,2015-10-31 19:00:00,2015-10-31 00:00:00,Sir Mutha Venkatasubba Rao Concert Hall,Chennai,Comedy
11574,Lanson Toyota Car Fun Rally,Sports,Paid,2015-10-18 08:00:00,2015-10-18 00:00:00,Lanson Toyota Showroom,Chennai,Sports Other
11582,Stage & Microphone Fright Workshop,Conferences,Paid,2015-10-19 10:00:00,2015-10-19 18:00:00,Academy of Broadcasting,Chennai,Learning & Workshops
11583,Karthik Iyer band & Trichur Brothers - Navotsavam,Entertainment,Paid,2015-11-03 19:00:00,2015-11-03 00:00:00,The Music Academy,Chennai,Music and Dance
11584,"Jim Corbett,Pangot & Sattal Wildlife Tour",Entertainment,Paid,2016-01-13 05:00:00,2016-01-19 20:00:00,Nainital District,Nainital,Variety
11587,PokeME,Entertainment,Paid,2015-10-18 20:00:00,2015-10-18 21:30:00,"Vapour, the Pub",Bengaluru,Comedy
11589,Concert - Arties,Entertainment,Paid,2015-10-29 19:00:00,2015-10-29 00:00:00,Museum Theatre,Chennai,Movies
11592,1 - Day Radio Jockey Workshop,Conferences,Paid,2015-10-22 10:00:00,2015-10-22 17:00:00,Academy of Broadcasting,Chennai,Learning & Workshops
11594,Freemason Brotherhood\tRun,Sports,Paid,2016-04-10 07:00:00,2016-04-10 09:00:00,Anna University,Chennai,Sports
11595,Pillayar Pidikka,Entertainment,Paid,2015-10-18 19:00:00,2015-10-18 00:00:00,"Vanimahal A/c,Obul Reddy Hall",Chennai,Comedy
11663,Girl on a Yatra (With Words and PIctures),Conferences,Paid,2015-10-18 11:00:00,2015-11-12 00:00:00,The Apartment Gallery,Chennai,Conferences & Exhibitions
11664,Cycle Race 50 Kms,Sports,Paid,2015-11-01 05:30:00,2015-11-01 00:00:00,Cycle 2 Fitness ,Puducherry,Sports Other
11670,Cyclone Music Festival Vol-1,Entertainment,Paid,2015-12-11 17:30:00,2015-12-11 00:00:00,Phoenix Market City ,Bengaluru,Music and Dance
11671,Super Brain Challenge 14 Nov,Sports,Paid,2015-11-14 08:00:00,2015-11-14 20:00:00,online,Chennai,Sports
11681,Evam Standup Tamasha Night,Entertainment,Paid,2015-10-31 20:00:00,2015-10-31 00:00:00,Escape GreenPark Hotel,Chennai,Comedy
11683,Kurukku Vazhiyil Traffic Jam,Entertainment,Paid,2015-11-08 19:00:00,2015-11-08 20:30:00,Music Academy Mini Hall,Chennai,Comedy
11686,Funadamentals of Photography Workshop with Capture O Graphy,Conferences,Paid,2015-11-14 10:00:00,2015-11-15 00:00:00,Century Club,Bengaluru,Learning & Workshops
11691,G3 Duathlon - Mixed Relay - 2015,Sports,Paid,2015-11-08 05:00:00,2015-11-08 00:00:00,Chennai Equitation Centre,Chennai,Sports Other
11692,G3 Duathlon 2015 Kids,Sports,Paid,2015-11-08 05:00:00,2015-11-08 00:00:00,Chennai Equitation Centre,Chennai,Sports Other
11702,C Maa P Maa ,Entertainment,Paid,2015-11-01 19:00:00,2015-11-01 00:00:00,Vani Mahal,Chennai,Comedy
11705,Dr.SPBs Naanum Kamalum,Entertainment,Paid,2015-11-08 18:30:00,2015-11-08 00:00:00,Kamarajar Arangam,Chennai,Music and Dance
11706,Chennai Runners Lecture Series: Practical Nutrition for Runners,Entertainment,Paid,2015-11-01 10:00:00,2015-11-01 11:30:00,Hotel Westin,Chennai,Talk Shows
11709,Monkey and the mobile,Entertainment,Paid,2015-11-01 15:00:00,2015-11-01 00:00:00,Edouard Michelin Auditorium,Chennai,Comedy
11713,Week-Ends Nov26,Entertainment,Paid,2015-11-26 16:30:00,2015-11-26 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre
11717,Monkey and the mobile,Entertainment,Paid,2015-11-01 19:00:00,2015-11-01 00:00:00,Edouard Michelin Auditorium,Chennai,Comedy
11719,Chennai Live 104.8Fm Diwali Bash,Entertainment,Paid,2015-11-07 18:00:00,2015-11-07 23:30:00,Mowbrays hall,Chennai,Music and Dance
11720,Sachin Jigar Concert,Entertainment,Paid,2016-01-10 19:00:00,2016-01-10 00:00:00,Phoenix Markertcity,Chennai,Music and Dance
11722,Farhan Akhtar live,Entertainment,Paid,2016-02-06 19:00:00,2016-02-06 00:00:00,Amir Mahal,Chennai,Music and Dance
